geoid10,ces_score,ces_percentile,ces_decile,pollution_pctile,popchar_pctile,total_pop_acs2019
06037132102,57.87288646751,94.452849218356,10,93.0802738021157,85.148764498235,5401
06037132300,49.4178199877083,87.2919818456884,9,83.4349719975109,80.3580433686334,7912
06037132501,43.2464923399499,79.8537569339385,8,56.241443683883,88.2249117498739,4566
06037132502,45.2285615452483,82.2365103378719,9,63.7336652146858,86.7624810892587,3922
06037132700,52.4294575546164,90.4437720625315,10,90.4293714996889,79.3242561775088,4873
06037132900,49.2298137073759,87.077660110943,9,91.9477286869944,71.3313161875946,3885
06037133000,48.1422921210493,85.6656580937973,9,74.4368388301182,84.9848714069591,4778
06037133100,51.7146731342618,89.7125567322239,9,93.9141257000622,72.9576399394856,5609
06037134001,49.800949765681,87.6323751891074,9,74.0385812072184,88.5400907715582,3864
06037134002,36.0909045985036,69.3141704488149,7,69.7697573117611,61.2708018154312,3665
06037134101,42.9400442039193,79.3998991427131,8,56.7766023646546,87.0272314674735,5579
06037134103,40.4462351764839,75.743822491175,8,56.3658991910392,81.6061522945033,4659
06037134104,42.4826238282056,78.6434694906707,8,52.9931549471064,89.0695915279879,4618
06037134201,38.6941492473765,73.1215330307615,8,85.5258245177349,56.0514372163389,4735
06037134302,32.942800501511,63.9309127584468,7,60.2986932171749,59.8966212808875,4112
06037134303,41.0553740934209,76.7397881996974,8,79.0665836963286,66.439737771054,5942
06037134304,41.0523165688926,76.7145738779627,8,70.5040448039826,72.528996469995,3042
06037134305,48.3847585837782,86.0312657589511,9,68.6869943995022,89.548663640948,4183
06037134306,31.9241744238441,62.2919818456883,7,77.5233354075918,46.9490670700958,4305
06037134421,9.8531076810998,12.5315179021684,2,17.1001866832607,14.7755925365608,4234
06037134422,20.4617218812795,38.6031265758951,4,47.5046670815184,33.5728693898134,4924
06037134423,18.7867291359117,34.707513867877,4,31.8855009334163,36.9515885022693,3539
06037134424,16.0137573969044,27.8870398386283,3,9.24704418170504,50.0882501260716,2916
06037134520,53.2034285186053,91.0237014624307,10,81.0952084629745,89.3721633888048,6065
06037134521,51.9980452051116,90.0403429147756,10,76.8014934660859,90.5446293494705,3691
06037134522,55.0140434261839,92.5491679273828,10,79.3154947106409,93.5703479576399,4167
06037134710,52.9325592164695,90.8219868885527,10,71.7610454262601,95.0075642965204,5836
06037134720,50.0093611592792,87.8971255673222,9,76.07965152458,87.38023197176,5074
06037134800,45.6712271359472,82.816439737771,9,77.3490976975731,78.0131114473021,6399
06037134901,35.087618527674,67.725668179526,7,77.1624144368388,54.2486132123046,3140
06037134903,48.4609010751878,86.1195158850227,9,86.3223397635345,76.0337871911246,6919
06037134904,37.2486051852046,70.8774583963691,8,63.2731798382078,68.8729198184569,4043
06037134905,34.9769442179473,67.5617750882501,7,80.3111387678905,52.1684316691881,4552
06037135102,18.7415092753068,34.606656580938,4,61.4561294337274,22.2894604135149,3726
06037135111,28.9047502932653,56.7574382249118,6,78.7305538270068,39.4351991931417,3313
06037135113,26.6212489092197,52.2440746343923,6,52.2588674548849,48.2602118003026,3485
06037135114,35.1895606367036,67.8643469490671,7,80.6720597386434,52.4205748865356,5106
06037135201,14.372345236459,23.9914271306102,3,51.4125700062228,15.1664145234493,2788
06037135202,22.9441264897827,44.3393847705497,5,40.1244555071562,45.095814422592,4708
06037135203,15.6238591347505,26.9541099344428,3,18.2327317983821,36.434694906707,7515
06037137103,30.078032656154,58.8124054462935,6,76.1543248288737,43.4316691880988,5382
06037137104,33.2203517592201,64.4478063540091,7,90.0435594275047,41.3893091275845,2754
06037137201,31.9348321162036,62.3171961674231,7,76.7517112632234,47.428139183056,6029
06037137301,12.93315132635,20.3857791225416,3,26.372121966397,20.1462430660615,2271
06037137302,15.0288960679407,25.6303580433686,3,20.3235843186061,32.1986888552698,4449
06037137401,16.4747796022441,29.0090771558245,3,59.4648413192284,17.5995965708522,4299
06037137402,27.5483768697807,54.0090771558245,6,72.221530802738,39.409984871407,5365
06037137501,29.7678493739002,58.2324760463944,6,75.6689483509645,43.066061522945,4915
06037137502,25.993431311478,50.9833585476551,6,75.0840074673304,34.9092284417549,4549
06037137504,5.80516244791202,4.31164901664145,1,13.0429371499689,4.87897125567322,2155
06037138000,12.2375433549649,18.5325264750378,2,17.38643434972,23.3358547655068,4780
06037139001,31.7099156816817,61.8507312153303,7,89.7573117610454,38.666162380232,5639
06037139200,28.8582202187703,56.6817952597075,6,93.3291848164281,29.9546142208775,5662
06037139301,34.5280965951824,66.7675239536056,7,98.4567517112632,33.761976802824,4445
06037139302,49.2078265287611,87.0524457892083,9,94.8848786558805,67.0196671709531,5000
06037139303,43.7469065555353,80.4336863338376,9,90.2551337896702,62.4180534543621,4260
06037139401,37.2302355794935,70.839636913767,8,89.2719352831363,50.3025718608169,2706
06037139402,25.73084966231,50.4538577912254,6,88.3260734287492,27.2566817952597,2899
06037139502,35.220648505274,67.9021684316692,7,88.3883011823273,46.8734241048916,2917
06037139503,32.9245091810967,63.8426626323752,7,73.366521468575,51.5002521432174,5946
06037139504,49.6932001706251,87.5189107413011,9,87.8282514001245,76.7650025214322,3998
06037139600,32.6394846308848,63.5148764498235,7,82.7380211574362,45.3227433182047,5060
06037139701,13.189104911452599,20.8648512355018,3,86.4343497199751,6.15229450327786,5320
06037139702,12.1776154085958,18.3812405446293,2,68.1642812694462,7.38779626828038,6447
06037139703,15.5901732236158,26.8658598083712,3,35.3453640323584,24.2939989914271,2861
06037139801,20.9517466259403,39.9016641452345,4,27.1686372121966,47.869389813414,3488
06037139802,9.88994334983952,12.6449823499748,2,16.07965152458,15.5824508320726,4126
06037141101,32.0669690327429,62.5063035804337,7,78.1953951462352,46.8608169440242,4674
06037141102,24.6073305038932,47.9828542612204,5,71.96017423771,32.9425113464448,3074
