geoid10,hpi_score,hpi_percentile,hpi_quartile,hpi_least_healthy_25,disadvantage_pctile,leb,pop_hpi
06037602403,-0.144080851,0.404878049,2,No,0.595121951,78.9,5199
06037602404,-0.298075444,0.319768935,2,No,0.6802310650000001,78.3,5457
06037602504,-0.40393917,0.263671374,2,No,0.7363286259999999,76.5,4961
06037602505,-0.585806063,0.174582798,1,Yes,0.825417202,78.18,4590
06037602506,-0.537078595,0.194993582,1,Yes,0.8050064180000001,76.5,4297
06037602507,-0.204003271,0.371116816,2,No,0.628883184,76.5,5122
06037602508,-0.40636879,0.262644416,2,No,0.737355584,77.3,6922
06037602509,-0.178890637,0.386392811,2,No,0.613607189,77.5,4457
06037602600,-0.191516008,0.378562259,2,No,0.621437741,79.1,8118
06037602700,0.076304873,0.534274711,3,No,0.465725289,77.2,3770
06037602801,-0.726146732,0.114249037,1,Yes,0.885750963,76.1,3718
06037602802,-0.108170704,0.425545571,2,No,0.574454429,77.3,5019
06037602900,-0.43530315,0.246213094,1,Yes,0.753786906,76.6,4443
06037603001,-0.464661141,0.231450578,1,Yes,0.768549422,79.4,7498
06037603004,-0.185578006,0.38241335,2,No,0.61758665,74.7,1549
06037603005,-0.55515997,0.189088575,1,Yes,0.810911425,77.9,5928
06037603006,0.069009422,0.53029525,3,No,0.46970475,79.4,1898
06037603101,-0.18627678,0.382156611,2,No,0.617843389,85.0,4139
06037603102,-0.22127857,0.360462131,2,No,0.639537869,83.4,3664
06037603200,0.352241212,0.696662388,3,No,0.303337612,82.6,3394
06037603301,-0.242085753,0.349679076,2,No,0.6503209240000001,83.4,3617
06037603302,-0.036307265,0.469062901,2,No,0.530937099,87.0,4048
